region,state,timeframe,group,metric,segment,year,category,value,aggregation,value_type,states_included
Southeast,FL,full-year,fish,participants,age,2015,18-24,178492.4765072423,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2015,25-34,301310.94622096384,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2015,35-44,318397.1248434383,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2015,45-54,390769.6965490465,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2015,55-64,339314.7558793091,NONE,total,NA
Southeast,FL,full-year,fish,participants,gender,2015,female,368862,NONE,total,NA
Southeast,FL,full-year,fish,participants,gender,2015,male,1159423,NONE,total,NA
Southeast,FL,full-year,fish,participants,residency,2015,nonresident,407002,NONE,total,NA
Southeast,FL,full-year,fish,participants,residency,2015,resident,1121283,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2015,18-24,88126.10888312123,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2015,25-34,119302.6172694798,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2015,35-44,108299.69299787898,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2015,45-54,114266.48389707525,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2015,55-64,90476.09695244474,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,gender,2015,female,150085,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,gender,2015,male,370386,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,residency,2015,nonresident,213252,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,residency,2015,resident,307219,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2015,18-24,21849.343264045237,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2015,25-34,36294.16957257797,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2015,35-44,38617.41977764979,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2015,45-54,45950.34036686039,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2015,55-64,35647.72701886661,NONE,total,NA
Southeast,FL,full-year,hunt,participants,gender,2015,female,16162,NONE,total,NA
Southeast,FL,full-year,hunt,participants,gender,2015,male,162197,NONE,total,NA
Southeast,FL,full-year,hunt,participants,residency,2015,nonresident,8169,NONE,total,NA
Southeast,FL,full-year,hunt,participants,residency,2015,resident,170190,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2015,18-24,8390.164361330271,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2015,25-34,11155.61315290123,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2015,35-44,9049.072081294318,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2015,45-54,8237.437406371717,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2015,55-64,6860.712998102466,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,gender,2015,female,6290,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,gender,2015,male,37403,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,residency,2015,nonresident,4428,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,residency,2015,resident,39265,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2016,18-24,0.35007723951,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2016,25-34,0.39542161084,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2016,35-44,0.4495144974,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2016,45-54,0.48994728776999996,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,age,2016,55-64,0.50290467885,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,all,2016,all,0.45074937886,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2016,female,0.38247555564,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,gender,2016,male,0.47171728014000003,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2016,nonresident,0.33094739828999997,NONE,total,NA
Southeast,FL,full-year,all_sports,churn,residency,2016,resident,0.49683662043,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,all,2016,all,1569365,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,all,2016,all,522148,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2016,18-24,0.32742172725,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2016,25-34,0.37652305055,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2016,35-44,0.43325171661,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2016,45-54,0.47838400216,NONE,total,NA
Southeast,FL,full-year,fish,churn,age,2016,55-64,0.4964352,NONE,total,NA
Southeast,FL,full-year,fish,churn,all,2016,all,0.43688406659,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2016,female,0.37638235236,NONE,total,NA
Southeast,FL,full-year,fish,churn,gender,2016,male,0.45584548785,NONE,total,NA
Southeast,FL,full-year,fish,churn,residency,2016,nonresident,0.32896009833,NONE,total,NA
Southeast,FL,full-year,fish,churn,residency,2016,resident,0.4791949606,NONE,total,NA
Southeast,FL,full-year,fish,participants,all,2016,all,1528285,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,all,2016,all,520471,NONE,total,NA
Southeast,FL,full-year,hunt,churn,age,2016,18-24,0.52371925974,NONE,total,NA
Southeast,FL,full-year,hunt,churn,age,2016,25-34,0.55903628515,NONE,total,NA
Southeast,FL,full-year,hunt,churn,age,2016,35-44,0.61136381358,NONE,total,NA
Southeast,FL,full-year,hunt,churn,age,2016,45-54,0.65526794025,NONE,total,NA
Southeast,FL,full-year,hunt,churn,age,2016,55-64,0.63242002235,NONE,total,NA
Southeast,FL,full-year,hunt,churn,all,2016,all,0.6029828503,NONE,total,NA
Southeast,FL,full-year,hunt,churn,gender,2016,female,0.48968871595,NONE,total,NA
Southeast,FL,full-year,hunt,churn,gender,2016,male,0.61378504384,NONE,total,NA
Southeast,FL,full-year,hunt,churn,residency,2016,nonresident,0.34133524424,NONE,total,NA
Southeast,FL,full-year,hunt,churn,residency,2016,resident,0.61596345387,NONE,total,NA
Southeast,FL,full-year,hunt,participants,all,2016,all,178359,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,all,2016,all,43693,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,age,2016,18-24,184641.44716713487,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,age,2016,25-34,310660.3261202125,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,age,2016,35-44,327770.26727023243,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,age,2016,45-54,400570.9207159347,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,age,2016,55-64,345722.0387264855,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,gender,2016,female,373436,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,gender,2016,male,1195929,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,residency,2016,nonresident,413118,NONE,total,NA
Southeast,FL,full-year,all_sports,participants,residency,2016,resident,1156247,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,age,2016,18-24,88456.3263519303,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,age,2016,25-34,119806.81879034519,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,age,2016,35-44,108551.11899531414,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,age,2016,45-54,114564.60870412303,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,age,2016,55-64,90769.12715828733,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,gender,2016,female,150404,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,gender,2016,male,371744,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,residency,2016,nonresident,215532,NONE,total,NA
Southeast,FL,full-year,all_sports,participants - recruited,residency,2016,resident,306616,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2016,18-24,178492.4765072423,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2016,25-34,301310.94622096384,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2016,35-44,318397.1248434383,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2016,45-54,390769.6965490465,NONE,total,NA
Southeast,FL,full-year,fish,participants,age,2016,55-64,339314.7558793091,NONE,total,NA
Southeast,FL,full-year,fish,participants,gender,2016,female,368862,NONE,total,NA
Southeast,FL,full-year,fish,participants,gender,2016,male,1159423,NONE,total,NA
Southeast,FL,full-year,fish,participants,residency,2016,nonresident,407002,NONE,total,NA
Southeast,FL,full-year,fish,participants,residency,2016,resident,1121283,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2016,18-24,88126.10888312123,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2016,25-34,119302.6172694798,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2016,35-44,108299.69299787898,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2016,45-54,114266.48389707525,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,age,2016,55-64,90476.09695244474,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,gender,2016,female,150085,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,gender,2016,male,370386,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,residency,2016,nonresident,213252,NONE,total,NA
Southeast,FL,full-year,fish,participants - recruited,residency,2016,resident,307219,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2016,18-24,21849.343264045237,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2016,25-34,36294.16957257797,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2016,35-44,38617.41977764979,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2016,45-54,45950.34036686039,NONE,total,NA
Southeast,FL,full-year,hunt,participants,age,2016,55-64,35647.72701886661,NONE,total,NA
Southeast,FL,full-year,hunt,participants,gender,2016,female,16162,NONE,total,NA
Southeast,FL,full-year,hunt,participants,gender,2016,male,162197,NONE,total,NA
Southeast,FL,full-year,hunt,participants,residency,2016,nonresident,8169,NONE,total,NA
Southeast,FL,full-year,hunt,participants,residency,2016,resident,170190,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2016,18-24,8390.164361330271,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2016,25-34,11155.61315290123,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2016,35-44,9049.072081294318,NONE,total,NA
Southeast,FL,full-year,hunt,participants - recruited,age,2016,45-54,8237.437406371717,NONE,total,NA
