"timeframe","group","segment","year","category","metric","value"
"full-year","all_sports","All",2009,"All","participants",655576
"full-year","all_sports","All",2010,"All","participants",631374
"full-year","all_sports","All",2011,"All","participants",614739
"full-year","all_sports","All",2012,"All","participants",642900
"full-year","all_sports","All",2013,"All","participants",638473
"full-year","all_sports","All",2014,"All","participants",656177
"full-year","all_sports","All",2015,"All","participants",641062
"full-year","all_sports","All",2016,"All","participants",620001
"full-year","all_sports","All",2017,"All","participants",588229
"full-year","all_sports","All",2018,"All","participants",565715
"full-year","all_sports","Residency",2009,"Resident","participants",514279
"full-year","all_sports","Residency",2010,"Resident","participants",493742
"full-year","all_sports","Residency",2011,"Resident","participants",479431
"full-year","all_sports","Residency",2012,"Resident","participants",502286
"full-year","all_sports","Residency",2013,"Resident","participants",497902
"full-year","all_sports","Residency",2014,"Resident","participants",508773
"full-year","all_sports","Residency",2015,"Resident","participants",495747
"full-year","all_sports","Residency",2016,"Resident","participants",476000
"full-year","all_sports","Residency",2017,"Resident","participants",447830
"full-year","all_sports","Residency",2018,"Resident","participants",424773
"full-year","all_sports","Residency",2009,"Nonresident","participants",141297
"full-year","all_sports","Residency",2010,"Nonresident","participants",137632
"full-year","all_sports","Residency",2011,"Nonresident","participants",135308
"full-year","all_sports","Residency",2012,"Nonresident","participants",140614
"full-year","all_sports","Residency",2013,"Nonresident","participants",140571
"full-year","all_sports","Residency",2014,"Nonresident","participants",147404
"full-year","all_sports","Residency",2015,"Nonresident","participants",145315
"full-year","all_sports","Residency",2016,"Nonresident","participants",144001
"full-year","all_sports","Residency",2017,"Nonresident","participants",140399
"full-year","all_sports","Residency",2018,"Nonresident","participants",140942
"full-year","all_sports","Gender",2009,"Male","participants",528993
"full-year","all_sports","Gender",2010,"Male","participants",510649
"full-year","all_sports","Gender",2011,"Male","participants",496156
"full-year","all_sports","Gender",2012,"Male","participants",512144
"full-year","all_sports","Gender",2013,"Male","participants",506657
"full-year","all_sports","Gender",2014,"Male","participants",515935
"full-year","all_sports","Gender",2015,"Male","participants",504246
"full-year","all_sports","Gender",2016,"Male","participants",488448
"full-year","all_sports","Gender",2017,"Male","participants",466456
"full-year","all_sports","Gender",2018,"Male","participants",452804
"full-year","all_sports","Gender",2009,"Female","participants",126583
"full-year","all_sports","Gender",2010,"Female","participants",120725
"full-year","all_sports","Gender",2011,"Female","participants",118583
"full-year","all_sports","Gender",2012,"Female","participants",130756
"full-year","all_sports","Gender",2013,"Female","participants",131816
"full-year","all_sports","Gender",2014,"Female","participants",140242
"full-year","all_sports","Gender",2015,"Female","participants",136816
"full-year","all_sports","Gender",2016,"Female","participants",131553
"full-year","all_sports","Gender",2017,"Female","participants",121773
"full-year","all_sports","Gender",2018,"Female","participants",112911
"full-year","all_sports","Age",2009,"18-24","participants",80777
"full-year","all_sports","Age",2010,"18-24","participants",78021
"full-year","all_sports","Age",2011,"18-24","participants",78068
"full-year","all_sports","Age",2012,"18-24","participants",86774
"full-year","all_sports","Age",2013,"18-24","participants",88910
"full-year","all_sports","Age",2014,"18-24","participants",92693
"full-year","all_sports","Age",2015,"18-24","participants",89347
"full-year","all_sports","Age",2016,"18-24","participants",84475
"full-year","all_sports","Age",2017,"18-24","participants",77662
"full-year","all_sports","Age",2018,"18-24","participants",73352
"full-year","all_sports","Age",2009,"25-34","participants",131141
"full-year","all_sports","Age",2010,"25-34","participants",124655
"full-year","all_sports","Age",2011,"25-34","participants",122745
"full-year","all_sports","Age",2012,"25-34","participants",128478
"full-year","all_sports","Age",2013,"25-34","participants",128711
"full-year","all_sports","Age",2014,"25-34","participants",133130
"full-year","all_sports","Age",2015,"25-34","participants",129693
"full-year","all_sports","Age",2016,"25-34","participants",126017
"full-year","all_sports","Age",2017,"25-34","participants",118321
"full-year","all_sports","Age",2018,"25-34","participants",112774
"full-year","all_sports","Age",2009,"35-44","participants",158432
"full-year","all_sports","Age",2010,"35-44","participants",150065
"full-year","all_sports","Age",2011,"35-44","participants",143842
"full-year","all_sports","Age",2012,"35-44","participants",147754
"full-year","all_sports","Age",2013,"35-44","participants",144150
"full-year","all_sports","Age",2014,"35-44","participants",146055
"full-year","all_sports","Age",2015,"35-44","participants",139336
"full-year","all_sports","Age",2016,"35-44","participants",133369
"full-year","all_sports","Age",2017,"35-44","participants",125892
