timeframe,group,segment,category,year,metric,value,state
full-year,hunt,age,45-54,2010,participants,58289,NE
full-year,hunt,age,55-64,2010,participants,43093,NE
full-year,hunt,age,18-24,2011,participants,33734,NE
full-year,hunt,age,25-34,2011,participants,55212,NE
full-year,hunt,age,35-44,2011,participants,51786,NE
full-year,hunt,age,45-54,2011,participants,55677,NE
full-year,hunt,age,55-64,2011,participants,43598,NE
full-year,hunt,age,18-24,2012,participants,36930,NE
full-year,hunt,age,25-34,2012,participants,59865,NE
full-year,hunt,age,35-44,2012,participants,54317,NE
full-year,hunt,age,45-54,2012,participants,56140,NE
full-year,hunt,age,55-64,2012,participants,45225,NE
full-year,hunt,age,18-24,2013,participants,36746,NE
full-year,hunt,age,25-34,2013,participants,58169,NE
full-year,hunt,age,35-44,2013,participants,52749,NE
full-year,hunt,age,45-54,2013,participants,52520,NE
full-year,hunt,age,55-64,2013,participants,44140,NE
full-year,hunt,age,18-24,2014,participants,36826,NE
full-year,hunt,age,25-34,2014,participants,58495,NE
full-year,hunt,age,35-44,2014,participants,52371,NE
full-year,hunt,age,45-54,2014,participants,50958,NE
full-year,hunt,age,55-64,2014,participants,44301,NE
full-year,hunt,age,18-24,2015,participants,37379,NE
full-year,hunt,age,25-34,2015,participants,60641,NE
full-year,hunt,age,35-44,2015,participants,54038,NE
full-year,hunt,age,45-54,2015,participants,51326,NE
full-year,hunt,age,55-64,2015,participants,46064,NE
full-year,hunt,age,18-24,2016,participants,37902,NE
full-year,hunt,age,25-34,2016,participants,61528,NE
full-year,hunt,age,35-44,2016,participants,55780,NE
full-year,hunt,age,45-54,2016,participants,51249,NE
full-year,hunt,age,55-64,2016,participants,47699,NE
full-year,hunt,age,18-24,2017,participants,35778,NE
full-year,hunt,age,25-34,2017,participants,59149,NE
full-year,hunt,age,35-44,2017,participants,55466,NE
full-year,hunt,age,45-54,2017,participants,49272,NE
full-year,hunt,age,55-64,2017,participants,48017,NE
full-year,hunt,age,18-24,2018,participants,32631,NE
full-year,hunt,age,25-34,2018,participants,55334,NE
full-year,hunt,age,35-44,2018,participants,53762,NE
full-year,hunt,age,45-54,2018,participants,46305,NE
full-year,hunt,age,55-64,2018,participants,46982,NE
full-year,hunt,gender,Female,2010,participants,41123,NE
full-year,hunt,gender,Male,2010,participants,201132,NE
full-year,hunt,gender,Female,2011,participants,40632,NE
full-year,hunt,gender,Male,2011,participants,196626,NE
full-year,hunt,gender,Female,2012,participants,46652,NE
full-year,hunt,gender,Male,2012,participants,203163,NE
full-year,hunt,gender,Female,2013,participants,45689,NE
full-year,hunt,gender,Male,2013,participants,196161,NE
full-year,hunt,gender,Female,2014,participants,46668,NE
full-year,hunt,gender,Male,2014,participants,193717,NE
full-year,hunt,gender,Female,2015,participants,48354,NE
full-year,hunt,gender,Male,2015,participants,198305,NE
full-year,hunt,gender,Female,2016,participants,50227,NE
full-year,hunt,gender,Male,2016,participants,201136,NE
full-year,hunt,gender,Female,2017,participants,48854,NE
full-year,hunt,gender,Male,2017,participants,196364,NE
full-year,hunt,gender,Female,2018,participants,45102,NE
full-year,hunt,gender,Male,2018,participants,187482,NE
full-year,all_sports,all,all,2011,churn,37.70820003715094,NE
full-year,all_sports,all,all,2012,churn,35.979667789209266,NE
full-year,all_sports,all,all,2013,churn,38.7867021595981,NE
full-year,all_sports,all,all,2014,churn,38.254994707594605,NE
full-year,all_sports,all,all,2015,churn,37.561825843514576,NE
full-year,all_sports,all,all,2016,churn,37.829148743812304,NE
full-year,all_sports,all,all,2017,churn,39.62874408723639,NE
full-year,all_sports,all,all,2018,churn,41.22737263633509,NE
full-year,all_sports,residency,Non-resident,2011,churn,57.02907761976642,NE
full-year,all_sports,residency,Resident,2011,churn,32.63924713533118,NE
full-year,all_sports,residency,Non-resident,2012,churn,56.76131910532345,NE
full-year,all_sports,residency,Resident,2012,churn,30.464324952799497,NE
full-year,all_sports,residency,Non-resident,2013,churn,58.82771713336498,NE
full-year,all_sports,residency,Resident,2013,churn,33.70038193799656,NE
full-year,all_sports,residency,Non-resident,2014,churn,58.0135764237813,NE
full-year,all_sports,residency,Resident,2014,churn,33.265491079520444,NE
full-year,all_sports,residency,Non-resident,2015,churn,57.14807672790013,NE
full-year,all_sports,residency,Resident,2015,churn,32.51328952325143,NE
full-year,all_sports,residency,Non-resident,2016,churn,57.56754708401228,NE
full-year,all_sports,residency,Resident,2016,churn,32.455991046054024,NE
full-year,all_sports,residency,Non-resident,2017,churn,58.64350404020319,NE
full-year,all_sports,residency,Resident,2017,churn,34.26322662259493,NE
full-year,all_sports,residency,Non-resident,2018,churn,59.88491208066844,NE
full-year,all_sports,residency,Resident,2018,churn,35.68897679436465,NE
full-year,all_sports,age,18-24,2011,churn,51.696865113603685,NE
full-year,all_sports,age,25-34,2011,churn,44.662250704579314,NE
full-year,all_sports,age,35-44,2011,churn,42.826371979771494,NE
full-year,all_sports,age,45-54,2011,churn,40.21685052068143,NE
full-year,all_sports,age,55-64,2011,churn,36.159004942798134,NE
full-year,all_sports,age,18-24,2012,churn,49.28262287306575,NE
full-year,all_sports,age,25-34,2012,churn,42.58675650220967,NE
full-year,all_sports,age,35-44,2012,churn,40.822986463784346,NE
full-year,all_sports,age,45-54,2012,churn,38.581460926414856,NE
full-year,all_sports,age,55-64,2012,churn,35.83421257855865,NE
full-year,all_sports,age,18-24,2013,churn,51.890062279989166,NE
full-year,all_sports,age,25-34,2013,churn,46.03023469472981,NE
full-year,all_sports,age,35-44,2013,churn,43.39157169946794,NE
full-year,all_sports,age,45-54,2013,churn,41.558603491271825,NE
full-year,all_sports,age,55-64,2013,churn,37.85295743504699,NE
full-year,all_sports,age,18-24,2014,churn,51.039512354413844,NE
full-year,all_sports,age,25-34,2014,churn,44.90974729241877,NE
full-year,all_sports,age,35-44,2014,churn,42.70412709245673,NE
full-year,all_sports,age,45-54,2014,churn,41.25778260124522,NE
full-year,all_sports,age,55-64,2014,churn,37.32499660187577,NE
full-year,all_sports,age,18-24,2015,churn,51.35898340981292,NE
full-year,all_sports,age,25-34,2015,churn,44.74417491495291,NE
full-year,all_sports,age,35-44,2015,churn,42.117121417524295,NE
full-year,all_sports,age,45-54,2015,churn,40.62481602857199,NE
full-year,all_sports,age,55-64,2015,churn,36.29714904855421,NE
full-year,all_sports,age,18-24,2016,churn,51.405869605928466,NE
full-year,all_sports,age,25-34,2016,churn,45.35545258158671,NE
full-year,all_sports,age,35-44,2016,churn,42.17957733446834,NE
full-year,all_sports,age,45-54,2016,churn,41.088337294938235,NE
full-year,all_sports,age,55-64,2016,churn,36.221344216741926,NE
full-year,all_sports,age,18-24,2017,churn,53.31908606405994,NE
full-year,all_sports,age,25-34,2017,churn,47.245156676635034,NE
full-year,all_sports,age,35-44,2017,churn,43.52276801721047,NE
full-year,all_sports,age,45-54,2017,churn,42.802786395832115,NE
full-year,all_sports,age,55-64,2017,churn,38.09094530283654,NE
full-year,all_sports,age,18-24,2018,churn,54.164570406394994,NE
full-year,all_sports,age,25-34,2018,churn,48.548629778025735,NE
full-year,all_sports,age,35-44,2018,churn,44.98070890275124,NE
full-year,all_sports,age,45-54,2018,churn,44.25570776255708,NE
full-year,all_sports,age,55-64,2018,churn,39.57556698669221,NE
full-year,all_sports,gender,Female,2011,churn,52.18977214697371,NE
full-year,all_sports,gender,Male,2011,churn,34.747330111568516,NE
full-year,all_sports,gender,Female,2012,churn,48.28952549714511,NE
full-year,all_sports,gender,Male,2012,churn,33.43589639266225,NE
full-year,all_sports,gender,Female,2013,churn,51.616222241275835,NE
full-year,all_sports,gender,Male,2013,churn,35.84067965131446,NE
full-year,all_sports,gender,Female,2014,churn,50.52309039177063,NE
full-year,all_sports,gender,Male,2014,churn,35.39757144459285,NE
full-year,all_sports,gender,Female,2015,churn,50.27531977803012,NE
full-year,all_sports,gender,Male,2015,churn,34.49876109849267,NE
full-year,all_sports,gender,Female,2016,churn,49.90693634445961,NE
full-year,all_sports,gender,Male,2016,churn,34.884143112881674,NE
full-year,all_sports,gender,Female,2017,churn,51.62163776454894,NE
full-year,all_sports,gender,Male,2017,churn,36.63391933815925,NE
full-year,all_sports,gender,Female,2018,churn,53.44291153232079,NE
full-year,all_sports,gender,Male,2018,churn,38.18830874527038,NE
full-year,fish,all,all,2011,churn,45.072446710318474,NE
full-year,fish,all,all,2012,churn,40.56957522225997,NE
full-year,fish,all,all,2013,churn,44.46001766230807,NE
full-year,fish,all,all,2014,churn,44.553612598872064,NE
full-year,fish,all,all,2015,churn,44.35829532343781,NE
full-year,fish,all,all,2016,churn,44.15070023705788,NE
full-year,fish,all,all,2017,churn,46.25497248892918,NE
full-year,fish,all,all,2018,churn,48.80621677283395,NE
full-year,fish,residency,Non-resident,2011,churn,68.10259635252898,NE
full-year,fish,residency,Resident,2011,churn,41.388403860110515,NE
full-year,fish,residency,Non-resident,2012,churn,64.99736678316657,NE
full-year,fish,residency,Resident,2012,churn,36.79361179361179,NE
full-year,fish,residency,Non-resident,2013,churn,66.85482828456931,NE
full-year,fish,residency,Resident,2013,churn,41.04774535809019,NE
full-year,fish,residency,Non-resident,2014,churn,65.82361135295142,NE
full-year,fish,residency,Resident,2014,churn,41.21119669462192,NE
full-year,fish,residency,Non-resident,2015,churn,66.60115413565275,NE
full-year,fish,residency,Resident,2015,churn,40.648126835324724,NE
full-year,fish,residency,Non-resident,2016,churn,67.27966271832966,NE
full-year,fish,residency,Resident,2016,churn,40.157502149017,NE
full-year,fish,residency,Non-resident,2017,churn,68.54258528660942,NE
full-year,fish,residency,Resident,2017,churn,42.34436609681776,NE
full-year,fish,residency,Non-resident,2018,churn,70.8872957138452,NE
full-year,fish,residency,Resident,2018,churn,44.74583238829666,NE
full-year,fish,age,18-24,2011,churn,61.753257742426804,NE
full-year,fish,age,25-34,2011,churn,52.79342164406018,NE
full-year,fish,age,35-44,2011,churn,49.958903721338885,NE
full-year,fish,age,45-54,2011,churn,46.12505385609651,NE
full-year,fish,age,55-64,2011,churn,40.71472537021615,NE
full-year,fish,age,18-24,2012,churn,57.15298705903209,NE
full-year,fish,age,25-34,2012,churn,48.17899986521095,NE
full-year,fish,age,35-44,2012,churn,45.1656022575375,NE
full-year,fish,age,45-54,2012,churn,42.04047984535789,NE
full-year,fish,age,55-64,2012,churn,37.657298277425205,NE
full-year,fish,age,18-24,2013,churn,59.76504040706375,NE
full-year,fish,age,25-34,2013,churn,52.56729404648349,NE
full-year,fish,age,35-44,2013,churn,49.111111111111114,NE
full-year,fish,age,45-54,2013,churn,45.65760118984383,NE
full-year,fish,age,55-64,2013,churn,40.98678587864046,NE
full-year,fish,age,18-24,2014,churn,59.31413100699407,NE
full-year,fish,age,25-34,2014,churn,51.68247652781485,NE
full-year,fish,age,35-44,2014,churn,48.7810904299127,NE
full-year,fish,age,45-54,2014,churn,46.243299202995146,NE
full-year,fish,age,55-64,2014,churn,41.408905792467436,NE
full-year,fish,age,18-24,2015,churn,59.82941465071517,NE
full-year,fish,age,25-34,2015,churn,51.777606028403056,NE
full-year,fish,age,35-44,2015,churn,48.363818035471425,NE
full-year,fish,age,45-54,2015,churn,46.01990049751244,NE
full-year,fish,age,55-64,2015,churn,41.10545307388797,NE
full-year,fish,age,18-24,2016,churn,59.86919209103626,NE
full-year,fish,age,25-34,2016,churn,51.774840689166865,NE
full-year,fish,age,35-44,2016,churn,48.350122515654775,NE
full-year,fish,age,45-54,2016,churn,46.207349473118605,NE
full-year,fish,age,55-64,2016,churn,40.48581654294804,NE
full-year,fish,age,18-24,2017,churn,61.855094058483886,NE
full-year,fish,age,25-34,2017,churn,54.33138257269089,NE
full-year,fish,age,35-44,2017,churn,49.62091503267974,NE
full-year,fish,age,45-54,2017,churn,48.21682886304296,NE
full-year,fish,age,55-64,2017,churn,42.71089926101283,NE
full-year,fish,age,18-24,2018,churn,63.23286789264013,NE
full-year,fish,age,25-34,2018,churn,56.24587398224895,NE
full-year,fish,age,35-44,2018,churn,52.27434538406771,NE
full-year,fish,age,45-54,2018,churn,50.977705816415494,NE
full-year,fish,age,55-64,2018,churn,45.41622760800843,NE
full-year,fish,gender,Female,2011,churn,55.470024323937615,NE
full-year,fish,gender,Male,2011,churn,42.19980392776952,NE
full-year,fish,gender,Female,2012,churn,50.46454055628368,NE
full-year,fish,gender,Male,2012,churn,37.77737598211644,NE
full-year,fish,gender,Female,2013,churn,54.40627150299812,NE
full-year,fish,gender,Male,2013,churn,41.45805982658745,NE
full-year,fish,gender,Female,2014,churn,53.43571519228328,NE
full-year,fish,gender,Male,2014,churn,41.85707790356265,NE
full-year,fish,gender,Female,2015,churn,53.39002069670599,NE
full-year,fish,gender,Male,2015,churn,41.510324112660996,NE
full-year,fish,gender,Female,2016,churn,53.19696197617141,NE
full-year,fish,gender,Male,2016,churn,41.23692807903334,NE
full-year,fish,gender,Female,2017,churn,54.861759760881746,NE
full-year,fish,gender,Male,2017,churn,43.42800604391812,NE
full-year,fish,gender,Female,2018,churn,57.339372184345564,NE
full-year,fish,gender,Male,2018,churn,45.9844012651068,NE
full-year,hunt,all,all,2011,churn,37.70820003715094,NE
full-year,hunt,all,all,2012,churn,35.97939795496885,NE
full-year,hunt,all,all,2013,churn,38.78830334447491,NE
full-year,hunt,all,all,2014,churn,38.256357246227005,NE
full-year,hunt,all,all,2015,churn,37.56016390373775,NE
full-year,hunt,all,all,2016,churn,37.829148743812304,NE
full-year,hunt,all,all,2017,churn,39.62993758031214,NE
full-year,hunt,all,all,2018,churn,41.22739766248807,NE
full-year,hunt,residency,Non-resident,2011,churn,57.02907761976642,NE
full-year,hunt,residency,Resident,2011,churn,32.63924713533118,NE
full-year,hunt,residency,Non-resident,2012,churn,56.760450160771704,NE
full-year,hunt,residency,Resident,2012,churn,30.464324952799497,NE
full-year,hunt,residency,Non-resident,2013,churn,58.82771713336498,NE
full-year,hunt,residency,Resident,2013,churn,33.70238949645415,NE
full-year,hunt,residency,Non-resident,2014,churn,58.0135764237813,NE
full-year,hunt,residency,Resident,2014,churn,33.26704265908467,NE
full-year,hunt,residency,Non-resident,2015,churn,57.14720688535239,NE
full-year,hunt,residency,Resident,2015,churn,32.51134098293751,NE
full-year,hunt,residency,Non-resident,2016,churn,57.56754708401228,NE
full-year,hunt,residency,Resident,2016,churn,32.455991046054024,NE
full-year,hunt,residency,Non-resident,2017,churn,58.64350404020319,NE
full-year,hunt,residency,Resident,2017,churn,34.264756891310114,NE
full-year,hunt,residency,Non-resident,2018,churn,59.88491208066844,NE
full-year,hunt,residency,Resident,2018,churn,35.68886279860593,NE
full-year,hunt,age,18-24,2011,churn,51.696865113603685,NE
full-year,hunt,age,25-34,2011,churn,44.662250704579314,NE
full-year,hunt,age,35-44,2011,churn,42.826371979771494,NE
full-year,hunt,age,45-54,2011,churn,40.21685052068143,NE
full-year,hunt,age,55-64,2011,churn,36.159004942798134,NE
full-year,hunt,age,18-24,2012,churn,49.28262287306575,NE
full-year,hunt,age,25-34,2012,churn,42.58675650220967,NE
full-year,hunt,age,35-44,2012,churn,40.821843741551774,NE
full-year,hunt,age,45-54,2012,churn,38.581460926414856,NE
full-year,hunt,age,55-64,2012,churn,35.83421257855865,NE
full-year,hunt,age,18-24,2013,churn,51.8927701056052,NE
full-year,hunt,age,25-34,2013,churn,46.031905119853,NE
full-year,hunt,age,35-44,2013,churn,43.39157169946794,NE
full-year,hunt,age,45-54,2013,churn,41.558603491271825,NE
full-year,hunt,age,55-64,2013,churn,37.85737976782753,NE
full-year,hunt,age,18-24,2014,churn,51.04501170195396,NE
full-year,hunt,age,25-34,2014,churn,44.91051934879403,NE
full-year,hunt,age,35-44,2014,churn,42.70602286299267,NE
full-year,hunt,age,45-54,2014,churn,41.25856816450876,NE
full-year,hunt,age,55-64,2014,churn,37.32215677390122,NE
full-year,hunt,age,18-24,2015,churn,51.35773638190408,NE
full-year,hunt,age,25-34,2015,churn,44.742285665441486,NE
full-year,hunt,age,35-44,2015,churn,42.11491092398465,NE
full-year,hunt,age,45-54,2015,churn,40.623650849719375,NE
full-year,hunt,age,55-64,2015,churn,36.29714904855421,NE
full-year,hunt,age,18-24,2016,churn,51.405869605928466,NE
full-year,hunt,age,25-34,2016,churn,45.35545258158671,NE
full-year,hunt,age,35-44,2016,churn,42.17957733446834,NE
full-year,hunt,age,45-54,2016,churn,41.088337294938235,NE
full-year,hunt,age,55-64,2016,churn,36.221344216741926,NE
full-year,hunt,age,18-24,2017,churn,53.31908606405994,NE
full-year,hunt,age,25-34,2017,churn,47.24840722922897,NE
full-year,hunt,age,35-44,2017,churn,43.52276801721047,NE
full-year,hunt,age,45-54,2017,churn,42.80473765341763,NE
full-year,hunt,age,55-64,2017,churn,38.09094530283654,NE
full-year,hunt,age,18-24,2018,churn,54.164570406394994,NE
full-year,hunt,age,25-34,2018,churn,48.550271348628044,NE
full-year,hunt,age,35-44,2018,churn,44.98070890275124,NE
full-year,hunt,age,45-54,2018,churn,44.25434323753856,NE
full-year,hunt,age,55-64,2018,churn,39.57556698669221,NE
full-year,hunt,gender,Female,2011,churn,52.18977214697371,NE
full-year,hunt,gender,Male,2011,churn,34.747330111568516,NE
full-year,hunt,gender,Female,2012,churn,48.28952549714511,NE
full-year,hunt,gender,Male,2012,churn,33.43555786111704,NE
full-year,hunt,gender,Female,2013,churn,51.61836577209981,NE
full-year,hunt,gender,Male,2013,churn,35.842156298144836,NE
full-year,hunt,gender,Female,2014,churn,50.528573617282056,NE
full-year,hunt,gender,Male,2014,churn,35.397963917394385,NE
full-year,hunt,gender,Female,2015,churn,50.272135081854806,NE
full-year,hunt,gender,Male,2015,churn,34.49774671298854,NE
full-year,hunt,gender,Female,2016,churn,49.90693634445961,NE
full-year,hunt,gender,Male,2016,churn,34.884143112881674,NE
full-year,hunt,gender,Female,2017,churn,51.62163776454894,NE
full-year,hunt,gender,Male,2017,churn,36.635410866279535,NE
full-year,hunt,gender,Female,2018,churn,53.44291153232079,NE
full-year,hunt,gender,Male,2018,churn,38.188262614328494,NE
full-year,all_sports,all,all,2015,recruits,59908,NE
full-year,all_sports,all,all,2016,recruits,61649,NE
full-year,all_sports,all,all,2017,recruits,59037,NE
full-year,all_sports,all,all,2018,recruits,55146,NE
full-year,all_sports,residency,Non-resident,2015,recruits,23568,NE
full-year,all_sports,residency,Non-resident,2016,recruits,24832,NE
full-year,all_sports,residency,Non-resident,2017,recruits,25311,NE
full-year,all_sports,residency,Non-resident,2018,recruits,24995,NE
full-year,all_sports,residency,Resident,2015,recruits,36340,NE
full-year,all_sports,residency,Resident,2016,recruits,36817,NE
full-year,all_sports,residency,Resident,2017,recruits,33726,NE
full-year,all_sports,residency,Resident,2018,recruits,30151,NE
full-year,all_sports,age,18-24,2015,recruits,15780,NE
full-year,all_sports,age,18-24,2016,recruits,16100,NE
full-year,all_sports,age,18-24,2017,recruits,14753,NE
full-year,all_sports,age,18-24,2018,recruits,13190,NE
full-year,all_sports,age,25-34,2015,recruits,21469,NE
full-year,all_sports,age,25-34,2016,recruits,21579,NE
full-year,all_sports,age,25-34,2017,recruits,20220,NE
full-year,all_sports,age,25-34,2018,recruits,18618,NE
full-year,all_sports,age,35-44,2015,recruits,17748,NE
full-year,all_sports,age,35-44,2016,recruits,18490,NE
full-year,all_sports,age,35-44,2017,recruits,18232,NE
full-year,all_sports,age,35-44,2018,recruits,17571,NE
full-year,all_sports,age,45-54,2015,recruits,15105,NE
full-year,all_sports,age,45-54,2016,recruits,15459,NE
full-year,all_sports,age,45-54,2017,recruits,14861,NE
full-year,all_sports,age,45-54,2018,recruits,13847,NE
full-year,all_sports,age,55-64,2015,recruits,13185,NE
full-year,all_sports,age,55-64,2016,recruits,13586,NE
full-year,all_sports,age,55-64,2017,recruits,13914,NE
full-year,all_sports,age,55-64,2018,recruits,13345,NE
full-year,all_sports,gender,Female,2015,recruits,17369,NE
full-year,all_sports,gender,Female,2016,recruits,17997,NE
full-year,all_sports,gender,Female,2017,recruits,16814,NE
full-year,all_sports,gender,Female,2018,recruits,15122,NE
full-year,all_sports,gender,Male,2015,recruits,42539,NE
full-year,all_sports,gender,Male,2016,recruits,43652,NE
full-year,all_sports,gender,Male,2017,recruits,42223,NE
full-year,all_sports,gender,Male,2018,recruits,40024,NE
full-year,fish,all,all,2015,recruits,47179,NE
full-year,fish,all,all,2016,recruits,48816,NE
full-year,fish,all,all,2017,recruits,45730,NE
full-year,fish,all,all,2018,recruits,38935,NE
full-year,fish,residency,Non-resident,2015,recruits,13334,NE
full-year,fish,residency,Non-resident,2016,recruits,14021,NE
full-year,fish,residency,Non-resident,2017,recruits,14002,NE
full-year,fish,residency,Non-resident,2018,recruits,12802,NE
full-year,fish,residency,Resident,2015,recruits,33845,NE
full-year,fish,residency,Resident,2016,recruits,34795,NE
full-year,fish,residency,Resident,2017,recruits,31728,NE
full-year,fish,residency,Resident,2018,recruits,26133,NE
full-year,fish,age,18-24,2015,recruits,12734,NE
full-year,fish,age,18-24,2016,recruits,13142,NE
full-year,fish,age,18-24,2017,recruits,11812,NE
full-year,fish,age,18-24,2018,recruits,10043,NE
full-year,fish,age,25-34,2015,recruits,16817,NE
full-year,fish,age,25-34,2016,recruits,17107,NE
full-year,fish,age,25-34,2017,recruits,15780,NE
full-year,fish,age,25-34,2018,recruits,13538,NE
full-year,fish,age,35-44,2015,recruits,13292,NE
full-year,fish,age,35-44,2016,recruits,14262,NE
full-year,fish,age,35-44,2017,recruits,13943,NE
full-year,fish,age,35-44,2018,recruits,12321,NE
full-year,fish,age,45-54,2015,recruits,10773,NE
full-year,fish,age,45-54,2016,recruits,11276,NE
full-year,fish,age,45-54,2017,recruits,10668,NE
